contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
EBAY241025C00051000,EBAY,2024-10-25,51.00,call,12.55,12.27,11.95,52,12.60,52,0,1,2024-10-25,2.50651,0.95442,0.01157,-1.47002,0.00316,0.00131
EBAY241025P00051000,EBAY,2024-10-25,51.00,put,0.00,0.01,0.00,0,0.52,120,0,0,2024-10-25,1.63397,-0.00565,0.00298,-0.15848,0.00053,-0.00001
EBAY241025C00052000,EBAY,2024-10-25,52.00,call,12.25,11.07,10.65,55,11.50,55,0,1,2024-10-25,1.41169,1.00000,0.00000,-0.02511,0.00000,0.00142
EBAY241025P00052000,EBAY,2024-10-25,52.00,put,0.00,0.01,0.00,0,0.22,189,0,1,2024-10-25,1.49998,-0.00612,0.00349,-0.15623,0.00057,-0.00001
EBAY241025C00053000,EBAY,2024-10-25,53.00,call,10.25,10.00,9.45,51,10.55,54,1,5,2024-10-25,1.28451,1.00000,0.00000,-0.02560,0.00000,0.00145
EBAY241025P00053000,EBAY,2024-10-25,53.00,put,0.00,0.01,0.00,0,0.22,194,0,1,2024-10-25,1.36736,-0.00667,0.00413,-0.15361,0.00062,-0.00001
EBAY241025C00054000,EBAY,2024-10-25,54.00,call,10.25,8.98,8.55,51,9.40,55,0,4,2024-10-25,1.15733,1.00000,0.00000,-0.02608,0.00000,0.00148
EBAY241025P00054000,EBAY,2024-10-25,54.00,put,0.00,0.01,0.00,0,0.25,228,0,4,2024-10-25,1.23627,-0.00732,0.00497,-0.15084,0.00067,-0.00001
EBAY241025C00055000,EBAY,2024-10-25,55.00,call,9.25,7.92,7.65,10,8.20,10,0,5,2024-10-25,1.03015,1.00000,0.00000,-0.02656,0.00000,0.00151
EBAY241025P00055000,EBAY,2024-10-25,55.00,put,0.00,0.01,0.00,0,0.05,203,0,10,2024-10-25,1.10624,-0.00811,0.00607,-0.14766,0.00073,-0.00001
EBAY241025C00056000,EBAY,2024-10-25,56.00,call,7.04,7.00,6.80,55,7.20,5,12,13,2024-10-25,0.90297,1.00000,0.00000,-0.02704,0.00000,0.00153
EBAY241025P00056000,EBAY,2024-10-25,56.00,put,0.00,0.01,0.00,0,0.52,430,0,4,2024-10-25,0.97713,-0.00909,0.00759,-0.14408,0.00081,-0.00002
EBAY241025C00057000,EBAY,2024-10-25,57.00,call,7.70,5.70,5.20,53,6.20,5,0,3,2024-10-25,0.77579,1.00000,0.00000,-0.02753,0.00000,0.00156
EBAY241025P00057000,EBAY,2024-10-25,57.00,put,0.00,0.01,0.00,0,0.02,15,0,3,2024-10-25,0.84878,-0.01034,0.00979,-0.14011,0.00091,-0.00002
EBAY241025C00058000,EBAY,2024-10-25,58.00,call,5.77,4.80,4.40,51,5.20,10,0,13,2024-10-25,0.64861,1.00000,0.00000,-0.02801,0.00000,0.00159
EBAY241025P00058000,EBAY,2024-10-25,58.00,put,0.00,0.01,0.00,0,0.02,35,0,6,2024-10-25,0.72058,-0.01201,0.01313,-0.13537,0.00103,-0.00002
EBAY241025C00059000,EBAY,2024-10-25,59.00,call,4.33,3.73,3.25,50,4.20,5,2,13,2024-10-25,0.52143,1.00000,0.00000,-0.02849,0.00000,0.00162
EBAY241025P00059000,EBAY,2024-10-25,59.00,put,0.00,0.01,0.00,0,0.20,336,0,205,2024-10-25,0.59207,-0.01435,0.01864,-0.12964,0.00120,-0.00003
EBAY241025C00060000,EBAY,2024-10-25,60.00,call,3.05,2.87,2.29,112,3.45,10,41,32,2024-10-25,0.39426,1.00000,0.00000,-0.02898,0.00000,0.00164
EBAY241025P00060000,EBAY,2024-10-25,60.00,put,0.00,0.01,0.00,0,0.80,424,0,34,2024-10-25,0.46250,-0.01793,0.02888,-0.12245,0.00146,-0.00003
EBAY241025C00061000,EBAY,2024-10-25,61.00,call,2.26,2.00,1.46,5,2.54,51,2,38,2024-10-25,0.26708,1.00000,0.00000,-0.02946,0.00000,0.00167
EBAY241025P00061000,EBAY,2024-10-25,61.00,put,0.01,0.01,0.00,0,0.19,466,1,41,2024-10-25,0.33034,-0.02420,0.05213,-0.11251,0.00188,-0.00004
EBAY241025C00062000,EBAY,2024-10-25,62.00,call,1.21,1.71,1.00,5,2.41,52,5,28,2024-10-25,0.81585,0.66868,0.13461,-1.80331,0.01198,0.00111
EBAY241025P00062000,EBAY,2024-10-25,62.00,put,0.00,0.01,0.00,0,0.25,301,0,83,2024-10-25,0.19254,-0.03893,0.13257,-0.09665,0.00278,-0.00007
EBAY241025C00063000,EBAY,2024-10-25,63.00,call,0.13,0.01,0.00,0,0.16,8,133,65,2024-10-25,0.01272,0.99944,0.05933,-0.03053,0.00007,0.00172
EBAY241025P00063000,EBAY,2024-10-25,63.00,put,0.02,0.01,0.00,0,0.26,366,92,203,2024-10-25,0.03401,-0.16697,2.22697,-0.04618,0.00826,-0.00029
EBAY241025C00064000,EBAY,2024-10-25,64.00,call,0.01,0.01,0.00,0,0.01,25,40,287,2024-10-25,0.15901,0.04632,0.18475,-0.09440,0.00320,0.00008
EBAY241025P00064000,EBAY,2024-10-25,64.00,put,0.93,1.60,0.80,19,2.40,180,63,131,2024-10-25,0.82682,-0.61888,0.13955,-1.87966,0.01259,-0.00111
EBAY241025C00065000,EBAY,2024-10-25,65.00,call,0.01,0.01,0.00,0,0.02,1,51,316,2024-10-25,0.29223,0.02723,0.06504,-0.11140,0.00207,0.00005
EBAY241025P00065000,EBAY,2024-10-25,65.00,put,1.93,1.92,0.70,52,3.15,50,30,189,2024-10-25,0.35565,-0.94263,0.09791,-0.21688,0.00380,-0.00168
EBAY241025C00066000,EBAY,2024-10-25,66.00,call,0.01,0.01,0.00,0,0.01,213,0,228,2024-10-25,0.41464,0.02002,0.03538,-0.12169,0.00160,0.00003
EBAY241025P00066000,EBAY,2024-10-25,66.00,put,2.84,2.49,0.83,68,4.15,50,5,71,2024-10-25,0.36882,-1.00000,0.00000,0.03187,0.00000,-0.00181
EBAY241025C00067000,EBAY,2024-10-25,67.00,call,0.01,0.01,0.00,0,0.01,20,2,435,2024-10-25,0.53034,0.01611,0.02298,-0.12916,0.00133,0.00003
EBAY241025P00067000,EBAY,2024-10-25,67.00,put,3.60,3.85,1.86,51,5.85,51,1,30,2024-10-25,0.49600,-1.00000,0.00000,0.03236,0.00000,-0.00184
EBAY241025C00068000,EBAY,2024-10-25,68.00,call,0.01,0.01,0.00,0,0.01,10,4,294,2024-10-25,0.64101,0.01361,0.01645,-0.13500,0.00115,0.00002
EBAY241025P00068000,EBAY,2024-10-25,68.00,put,4.84,4.84,2.84,51,6.85,51,10,15,2024-10-25,0.62318,-1.00000,0.00000,0.03284,0.00000,-0.00186
EBAY241025C00069000,EBAY,2024-10-25,69.00,call,0.02,0.01,0.00,0,0.18,378,19,47,2024-10-25,0.74771,0.01188,0.01254,-0.13991,0.00102,0.00002
EBAY241025P00069000,EBAY,2024-10-25,69.00,put,5.60,5.85,3.85,51,7.85,51,1,0,2024-10-25,0.75036,-1.00000,0.00000,0.03332,0.00000,-0.00189
EBAY241025C00070000,EBAY,2024-10-25,70.00,call,0.04,0.01,0.00,0,0.11,303,3,96,2024-10-25,0.85076,0.01058,0.00996,-0.14386,0.00092,0.00002
EBAY241025P00070000,EBAY,2024-10-25,70.00,put,0.00,6.85,4.85,51,8.85,51,0,0,2024-10-25,0.87754,-1.00000,0.00000,0.03381,0.00000,-0.00192
EBAY241025C00071000,EBAY,2024-10-25,71.00,call,0.01,0.01,0.00,0,0.52,380,0,5,2024-10-25,0.95091,0.00958,0.00817,-0.14743,0.00085,0.00002
EBAY241025P00071000,EBAY,2024-10-25,71.00,put,0.00,7.85,5.85,51,9.85,51,0,0,2024-10-25,1.00471,-1.00000,0.00000,0.03429,0.00000,-0.00194
EBAY241025C00072000,EBAY,2024-10-25,72.00,call,0.00,0.01,0.00,0,0.52,153,0,0,2024-10-25,1.04847,0.00879,0.00687,-0.15070,0.00079,0.00001
EBAY241025P00072000,EBAY,2024-10-25,72.00,put,0.00,8.85,6.85,51,10.85,51,0,1,2024-10-25,1.13189,-1.00000,0.00000,0.03477,0.00000,-0.00197
EBAY241025C00073000,EBAY,2024-10-25,73.00,call,0.04,0.01,0.00,0,0.52,370,0,47,2024-10-25,1.14343,0.00813,0.00589,-0.15351,0.00073,0.00001
EBAY241025P00073000,EBAY,2024-10-25,73.00,put,0.00,9.85,7.85,51,11.85,51,0,0,2024-10-25,1.25907,-1.00000,0.00000,0.03525,0.00000,-0.00200
EBAY241025C00074000,EBAY,2024-10-25,74.00,call,0.00,0.01,0.00,0,0.52,143,0,0,2024-10-25,1.23611,0.00758,0.00512,-0.15603,0.00069,0.00001
EBAY241025P00074000,EBAY,2024-10-25,74.00,put,0.00,10.85,8.85,51,12.85,51,0,0,2024-10-25,1.38625,-1.00000,0.00000,0.03574,0.00000,-0.00203
EBAY241025C00075000,EBAY,2024-10-25,75.00,call,0.01,0.01,0.00,0,0.52,367,0,6,2024-10-25,1.32681,0.00712,0.00451,-0.15845,0.00065,0.00001
EBAY241025P00075000,EBAY,2024-10-25,75.00,put,0.00,11.85,9.85,51,13.85,51,0,0,2024-10-25,1.51343,-1.00000,0.00000,0.03622,0.00000,-0.00205
EBAY241025C00076000,EBAY,2024-10-25,76.00,call,0.00,0.01,0.00,0,0.52,122,0,0,2024-10-25,1.41553,0.00672,0.00402,-0.16065,0.00062,0.00001
EBAY241025P00076000,EBAY,2024-10-25,76.00,put,0.00,12.85,10.85,51,14.85,51,0,0,2024-10-25,1.64061,-1.00000,0.00000,0.03670,0.00000,-0.00208
EBAY241025C00077000,EBAY,2024-10-25,77.00,call,0.00,0.01,0.00,0,0.52,159,0,0,2024-10-25,1.50242,0.00638,0.00362,-0.16270,0.00059,0.00001
EBAY241025P00077000,EBAY,2024-10-25,77.00,put,0.00,13.80,11.85,51,15.75,51,0,0,2024-10-25,1.76779,-1.00000,0.00000,0.03719,0.00000,-0.00211
EBAY241025C00078000,EBAY,2024-10-25,78.00,call,0.00,0.01,0.00,0,0.52,122,0,0,2024-10-25,1.58748,0.00607,0.00328,-0.16454,0.00057,0.00001
EBAY241025P00078000,EBAY,2024-10-25,78.00,put,0.00,14.85,12.85,51,16.85,51,0,0,2024-10-25,1.89497,-1.00000,0.00000,0.03767,0.00000,-0.00214
EBAY241025C00079000,EBAY,2024-10-25,79.00,call,0.00,0.01,0.00,0,0.52,108,0,0,2024-10-25,1.67101,0.00580,0.00299,-0.16635,0.00054,0.00001
EBAY241025P00079000,EBAY,2024-10-25,79.00,put,0.00,15.80,13.85,51,17.75,51,0,0,2024-10-25,2.02215,-1.00000,0.00000,0.03815,0.00000,-0.00216
EBAY241025C00080000,EBAY,2024-10-25,80.00,call,0.00,0.01,0.00,0,0.05,1,0,0,2024-10-25,1.75287,0.00556,0.00274,-0.16797,0.00052,0.00001
EBAY241025P00080000,EBAY,2024-10-25,80.00,put,0.00,16.77,14.85,51,18.70,51,0,0,2024-10-25,2.14933,-1.00000,0.00000,0.03863,0.00000,-0.00219
EBAY241101C00035000,EBAY,2024-11-01,35.00,call,0.00,27.85,26.30,50,29.40,50,0,0,2024-10-25,0.89343,1.00000,0.00000,-0.01689,0.00000,0.00671
EBAY241101P00035000,EBAY,2024-11-01,35.00,put,0.00,0.01,0.00,0,0.01,350,0,0,2024-10-25,1.56598,-0.00232,0.00053,-0.02585,0.00063,-0.00003
EBAY241101C00040000,EBAY,2024-11-01,40.00,call,0.00,23.10,22.50,53,23.70,53,0,0,2024-10-25,0.73446,1.00000,0.00000,-0.01930,0.00000,0.00766
EBAY241101P00040000,EBAY,2024-11-01,40.00,put,0.00,0.01,0.00,0,0.01,75,0,10,2024-10-25,1.23520,-0.00293,0.00083,-0.02509,0.00078,-0.00004
EBAY241101C00045000,EBAY,2024-11-01,45.00,call,18.50,18.00,16.05,2,19.95,1,0,2,2024-10-25,0.57549,1.00000,0.00000,-0.02171,0.00000,0.00862
EBAY241101P00045000,EBAY,2024-11-01,45.00,put,0.00,0.01,0.00,0,0.01,3,0,25,2024-10-25,0.93993,-0.00380,0.00138,-0.02411,0.00099,-0.00005
EBAY241101C00048000,EBAY,2024-11-01,48.00,call,0.00,15.20,14.40,55,16.00,51,0,0,2024-10-25,0.96950,0.98262,0.00507,-0.11748,0.00375,0.00898
EBAY241101P00048000,EBAY,2024-11-01,48.00,put,0.00,0.01,0.00,0,1.17,51,0,0,2024-10-25,0.77591,-0.00456,0.00196,-0.02338,0.00116,-0.00006
EBAY241101C00049000,EBAY,2024-11-01,49.00,call,15.80,14.15,13.90,54,14.40,51,0,16,2024-10-25,0.66677,0.99741,0.00138,-0.03575,0.00070,0.00936
EBAY241101P00049000,EBAY,2024-11-01,49.00,put,0.00,0.01,0.00,0,0.02,1,0,0,2024-10-25,0.72317,-0.00487,0.00224,-0.02314,0.00124,-0.00006
EBAY241101C00050000,EBAY,2024-11-01,50.00,call,16.59,13.07,12.40,54,13.75,51,0,1,2024-10-25,0.41651,1.00000,0.00000,-0.02413,0.00000,0.00958
EBAY241101P00050000,EBAY,2024-11-01,50.00,put,0.02,0.01,0.00,0,0.45,51,1,0,2024-10-25,0.67104,-0.00523,0.00257,-0.02283,0.00131,-0.00007
EBAY241101C00051000,EBAY,2024-11-01,51.00,call,0.00,12.12,11.40,51,12.85,51,0,0,2024-10-25,0.38472,1.00000,0.00000,-0.02461,0.00000,0.00977
EBAY241101P00051000,EBAY,2024-11-01,51.00,put,0.02,0.01,0.00,0,0.02,51,1,0,2024-10-25,0.61966,-0.00563,0.00297,-0.02251,0.00140,-0.00007
EBAY241101C00052000,EBAY,2024-11-01,52.00,call,11.65,11.15,10.45,51,11.85,51,0,9,2024-10-25,0.47912,0.99848,0.00118,-0.03045,0.00043,0.00994
EBAY241101P00052000,EBAY,2024-11-01,52.00,put,0.02,0.01,0.00,0,0.04,1,155,1,2024-10-25,0.56906,-0.00610,0.00347,-0.02218,0.00151,-0.00008
EBAY241101C00053000,EBAY,2024-11-01,53.00,call,10.55,10.00,9.50,51,10.50,51,0,2,2024-10-25,0.32113,1.00000,0.00000,-0.02558,0.00000,0.01015
EBAY241101P00053000,EBAY,2024-11-01,53.00,put,0.00,0.60,0.01,200,1.20,103,0,2,2024-10-25,1.13307,-0.11585,0.01971,-0.49986,0.01705,-0.00152
EBAY241101C00054000,EBAY,2024-11-01,54.00,call,10.75,9.18,8.60,53,9.75,53,0,1,2024-10-25,0.54390,0.98289,0.00892,-0.07804,0.00370,0.01013
EBAY241101P00054000,EBAY,2024-11-01,54.00,put,0.00,0.69,0.02,311,1.35,64,0,2,2024-10-25,1.09465,-0.13366,0.02254,-0.53337,0.01884,-0.00175
EBAY241101C00055000,EBAY,2024-11-01,55.00,call,11.43,7.92,7.40,53,8.45,24,0,4,2024-10-25,0.25754,1.00000,0.00000,-0.02654,0.00000,0.01054
EBAY241101P00055000,EBAY,2024-11-01,55.00,put,0.15,0.17,0.04,396,0.30,100,1,3,2024-10-25,0.67607,-0.06374,0.02114,-0.19031,0.01091,-0.00080
EBAY241101C00056000,EBAY,2024-11-01,56.00,call,0.00,6.75,6.05,51,7.45,7,0,0,2024-10-25,0.22574,1.00000,0.00000,-0.02702,0.00000,0.01073
EBAY241101P00056000,EBAY,2024-11-01,56.00,put,0.14,0.70,0.12,197,1.28,197,1,90,2024-10-25,0.92011,-0.15678,0.02986,-0.49816,0.02098,-0.00203
EBAY241101C00057000,EBAY,2024-11-01,57.00,call,9.50,6.40,6.30,12,6.50,9,0,3,2024-10-25,0.59162,0.90203,0.03344,-0.25742,0.01511,0.00969
EBAY241101P00057000,EBAY,2024-11-01,57.00,put,0.22,0.24,0.21,186,0.27,2,7,19,2024-10-25,0.58689,-0.09629,0.03329,-0.22520,0.01492,-0.00121
EBAY241101C00058000,EBAY,2024-11-01,58.00,call,7.10,5.47,5.40,20,5.55,3,0,35,2024-10-25,0.55656,0.87369,0.04264,-0.28691,0.01812,0.00952
EBAY241101P00058000,EBAY,2024-11-01,58.00,put,0.30,0.33,0.31,136,0.35,88,82,34,2024-10-25,0.56418,-0.12932,0.04275,-0.26682,0.01842,-0.00163
EBAY241101C00059000,EBAY,2024-11-01,59.00,call,4.70,4.60,4.50,40,4.70,20,6,1,2024-10-25,0.53842,0.82913,0.05396,-0.33447,0.02219,0.00915
EBAY241101P00059000,EBAY,2024-11-01,59.00,put,0.48,0.48,0.46,127,0.50,20,104,27,2024-10-25,0.55381,-0.17712,0.05367,-0.32209,0.02270,-0.00224
EBAY241101C00060000,EBAY,2024-11-01,60.00,call,4.90,3.83,3.75,31,3.90,20,0,15,2024-10-25,0.54070,0.76503,0.06503,-0.39999,0.02685,0.00852
EBAY241101P00060000,EBAY,2024-11-01,60.00,put,0.70,0.68,0.66,80,0.70,1,36,167,2024-10-25,0.54284,-0.23575,0.06490,-0.37320,0.02690,-0.00298
EBAY241101C00061000,EBAY,2024-11-01,61.00,call,4.09,3.12,3.05,21,3.20,34,0,3,2024-10-25,0.53857,0.69270,0.07468,-0.45082,0.03071,0.00778
EBAY241101P00061000,EBAY,2024-11-01,61.00,put,0.95,1.14,0.94,10,1.33,133,10,60,2024-10-25,0.59543,-0.32170,0.06888,-0.47583,0.03132,-0.00411
EBAY241101C00062000,EBAY,2024-11-01,62.00,call,2.53,2.45,2.42,21,2.48,10,5,20,2024-10-25,0.52500,0.61447,0.08335,-0.47493,0.03342,0.00697
EBAY241101P00062000,EBAY,2024-11-01,62.00,put,1.31,1.31,1.28,74,1.35,36,61,56,2024-10-25,0.53019,-0.38635,0.08259,-0.44978,0.03344,-0.00493
EBAY241101C00063000,EBAY,2024-11-01,63.00,call,1.92,1.89,1.87,17,1.91,2,64,36,2024-10-25,0.51982,0.52826,0.08761,-0.48646,0.03477,0.00603
EBAY241101P00063000,EBAY,2024-11-01,63.00,put,1.74,1.75,1.72,6,1.78,23,94,95,2024-10-25,0.52516,-0.47174,0.08672,-0.46088,0.03477,-0.00604
EBAY241101C00064000,EBAY,2024-11-01,64.00,call,1.45,1.42,1.40,9,1.45,12,58,2078,2024-10-25,0.51570,0.44053,0.08754,-0.47624,0.03447,0.00506
EBAY241101P00064000,EBAY,2024-11-01,64.00,put,2.28,2.28,2.24,6,2.31,10,149,496,2024-10-25,0.52134,-0.55852,0.08663,-0.45061,0.03449,-0.00720
EBAY241101C00065000,EBAY,2024-11-01,65.00,call,1.05,1.04,1.02,6,1.06,6,123,286,2024-10-25,0.51281,0.35599,0.08316,-0.44572,0.03256,0.00411
EBAY241101P00065000,EBAY,2024-11-01,65.00,put,2.88,2.90,2.86,1,2.94,10,19,243,2024-10-25,0.51906,-0.64203,0.08232,-0.42057,0.03263,-0.00833
EBAY241101C00066000,EBAY,2024-11-01,66.00,call,0.80,0.73,0.65,294,0.80,95,5,186,2024-10-25,0.50671,0.27691,0.07561,-0.39459,0.02926,0.00321
EBAY241101P00066000,EBAY,2024-11-01,66.00,put,3.57,3.60,3.50,181,3.70,49,3,83,2024-10-25,0.51723,-0.71856,0.07466,-0.37401,0.02949,-0.00939
EBAY241101C00067000,EBAY,2024-11-01,67.00,call,0.53,0.53,0.49,167,0.58,93,87,479,2024-10-25,0.51494,0.21408,0.06477,-0.34820,0.02547,0.00249
EBAY241101P00067000,EBAY,2024-11-01,67.00,put,0.00,4.38,4.30,64,4.45,9,0,19,2024-10-25,0.51967,-0.78362,0.06458,-0.32122,0.02563,-0.01032
EBAY241101C00068000,EBAY,2024-11-01,68.00,call,0.41,0.38,0.34,162,0.41,129,1,199,2024-10-25,0.52287,0.16260,0.05381,-0.29767,0.02149,0.00189
EBAY241101P00068000,EBAY,2024-11-01,68.00,put,5.20,5.72,5.15,30,6.30,79,16,54,2024-10-25,0.72485,-0.75352,0.04979,-0.49508,0.02756,-0.01022
EBAY241101C00069000,EBAY,2024-11-01,69.00,call,0.27,0.27,0.24,7,0.29,71,42,210,2024-10-25,0.53080,0.12167,0.04355,-0.24785,0.01765,0.00142
EBAY241101P00069000,EBAY,2024-11-01,69.00,put,0.00,6.12,6.05,27,6.20,2,0,70,2024-10-25,0.53857,-0.87467,0.04382,-0.22343,0.01802,-0.01176
EBAY241101C00070000,EBAY,2024-11-01,70.00,call,0.19,0.19,0.16,169,0.22,129,10,65,2024-10-25,0.53842,0.08979,0.03445,-0.20149,0.01417,0.00105
EBAY241101P00070000,EBAY,2024-11-01,70.00,put,0.00,7.08,6.95,20,7.20,10,0,5,2024-10-25,0.57485,-0.89474,0.03626,-0.20788,0.01592,-0.01219
EBAY241101C00071000,EBAY,2024-11-01,71.00,call,0.15,0.48,0.11,281,0.85,92,3,66,2024-10-25,0.76433,0.14623,0.03432,-0.40337,0.02003,0.00168
EBAY241101P00071000,EBAY,2024-11-01,71.00,put,0.00,8.45,7.90,16,9.00,54,0,0,2024-10-25,0.82896,-0.83199,0.03467,-0.44486,0.02195,-0.01169
EBAY241101C00072000,EBAY,2024-11-01,72.00,call,0.11,0.16,0.09,11,0.23,152,1,23,2024-10-25,0.62027,0.06913,0.02453,-0.18994,0.01162,0.00081
EBAY241101P00072000,EBAY,2024-11-01,72.00,put,0.00,8.97,8.85,21,9.10,8,0,0,2024-10-25,0.59939,-0.93784,0.02338,-0.13431,0.01070,-0.01307
EBAY241101C00073000,EBAY,2024-11-01,73.00,call,0.11,0.18,0.05,500,0.32,188,0,22,2024-10-25,0.68735,0.07027,0.02242,-0.21294,0.01177,0.00082
EBAY241101P00073000,EBAY,2024-11-01,73.00,put,0.00,9.93,9.80,17,10.05,10,0,3,2024-10-25,0.60579,-0.95393,0.01825,-0.09945,0.00844,-0.01345
EBAY241101C00074000,EBAY,2024-11-01,74.00,call,0.22,0.67,0.02,77,1.32,51,0,0,2024-10-25,1.03810,0.15149,0.02587,-0.55936,0.02051,0.00170
EBAY241101P00074000,EBAY,2024-11-01,74.00,put,0.00,10.68,9.95,54,11.40,51,0,0,2024-10-25,0.34656,-1.00000,0.00000,0.03571,0.00000,-0.01418
EBAY241101C00075000,EBAY,2024-11-01,75.00,call,0.17,0.18,0.02,66,0.33,80,0,179,2024-10-25,0.78353,0.06308,0.01809,-0.22295,0.01082,0.00073
EBAY241101P00075000,EBAY,2024-11-01,75.00,put,0.00,11.60,11.15,51,12.05,19,0,0,2024-10-25,0.37836,-1.00000,0.00000,0.03619,0.00000,-0.01437
EBAY241101C00076000,EBAY,2024-11-01,76.00,call,0.10,0.66,0.01,59,1.30,51,0,2,2024-10-25,1.14663,0.13870,0.02207,-0.58165,0.01933,0.00155
EBAY241101P00076000,EBAY,2024-11-01,76.00,put,0.00,12.70,12.10,54,13.30,54,0,0,2024-10-25,0.41015,-1.00000,0.00000,0.03667,0.00000,-0.01456
EBAY241101C00077000,EBAY,2024-11-01,77.00,call,0.14,0.63,0.01,377,1.25,415,0,2,2024-10-25,1.18490,0.13017,0.02045,-0.57525,0.01850,0.00145
EBAY241101P00077000,EBAY,2024-11-01,77.00,put,0.00,13.73,13.05,55,14.40,54,0,0,2024-10-25,0.44195,-1.00000,0.00000,0.03716,0.00000,-0.01475
EBAY241101C00078000,EBAY,2024-11-01,78.00,call,0.03,0.02,0.01,10,0.03,1,262,0,2024-10-25,0.64909,0.01064,0.00496,-0.04191,0.00246,0.00012
EBAY241101P00078000,EBAY,2024-11-01,78.00,put,0.00,14.85,12.85,51,16.85,51,0,0,2024-10-25,0.65777,-0.98844,0.00526,-0.00801,0.00264,-0.01481
EBAY241101C00079000,EBAY,2024-11-01,79.00,call,0.00,0.12,0.01,215,0.23,429,0,0,2024-10-25,0.89115,0.03991,0.01105,-0.17579,0.00752,0.00046
EBAY241101P00079000,EBAY,2024-11-01,79.00,put,0.00,15.57,14.90,51,16.25,50,0,0,2024-10-25,0.50554,-1.00000,0.00000,0.03812,0.00000,-0.01514
EBAY241101C00080000,EBAY,2024-11-01,80.00,call,0.02,0.01,0.00,0,0.03,32,1,150,2024-10-25,0.66052,0.00557,0.00276,-0.02411,0.00139,0.00007
EBAY241101P00080000,EBAY,2024-11-01,80.00,put,16.60,16.80,15.95,51,17.65,51,4,0,2024-10-25,0.53733,-1.00000,0.00000,0.03860,0.00000,-0.01533
EBAY241108C00035000,EBAY,2024-11-08,35.00,call,0.00,28.15,26.40,50,29.90,50,0,0,2024-10-25,0.47650,1.00000,0.00000,-0.01687,0.00000,0.01340
EBAY241108P00035000,EBAY,2024-11-08,35.00,put,0.00,0.01,0.00,0,0.54,51,0,0,2024-10-25,1.10898,-0.00232,0.00053,-0.01289,0.00090,-0.00006
