Company,Sector,Accuracy,Prediction,Beta
KR,^SP500-3010,0.9,KR will outperform ^SP500-3010,0.463
LLY,^SP500-35,0.9,LLY will outperform ^SP500-35,0.416
LMT,^SP500-20,0.9666666666666667,LMT will outperform ^SP500-20,0.47
LOW,^SP500-2550,0.9666666666666667,LOW will outperform ^SP500-2550,1.093
LUV,^SP500-20,0.9333333333333333,LUV will underperform ^SP500-20,1.162
MA,^SP500-40,0.9666666666666667,MA will outperform ^SP500-40,1.103
MAR,^SP500-2550,0.9666666666666667,MAR will outperform ^SP500-2550,1.592
MCD,^SP500-2550,0.8333333333333334,MCD will underperform ^SP500-2550,0.726
MCK,^SP500-35,0.9666666666666667,MCK will underperform ^SP500-35,0.433
MDLZ,^SP500-3010,0.9333333333333333,MDLZ will outperform ^SP500-3010,0.549
MDT,^SP500-35,0.9,MDT will underperform ^SP500-35,0.854
META,^SP500-50,1.0,META will outperform ^SP500-50,1.216
MGM,^SP500-2550,0.9666666666666667,MGM will underperform ^SP500-2550,2.236
MMM,^SP500-20,0.9666666666666667,MMM will outperform ^SP500-20,0.995
MO,^SP500-3010,0.9666666666666667,MO will underperform ^SP500-3010,0.684
MRK,^SP500-35,0.9333333333333333,MRK will underperform ^SP500-35,0.399
MS,^SP500-40,0.8666666666666667,MS will underperform ^SP500-40,1.356
MSFT,^SP500-45,0.8666666666666667,MSFT will underperform ^SP500-45,0.896
MU,^SP500-45,1.0,MU will underperform ^SP500-45,1.179
NEE,^SP500-55,0.9333333333333333,NEE will outperform ^SP500-55,0.552
NFLX,^SP500-50,0.8666666666666667,NFLX will outperform ^SP500-50,1.261
NKE,^SP500-2550,0.9333333333333333,NKE will underperform ^SP500-2550,1.017
NOC,^SP500-20,0.9666666666666667,NOC will underperform ^SP500-20,0.337
NVDA,^SP500-45,0.9666666666666667,NVDA will outperform ^SP500-45,1.669
NXPI,^SP500-45,0.9285714285714286,NXPI will outperform ^SP500-45,1.493
ORCL,^SP500-45,0.9333333333333333,ORCL will underperform ^SP500-45,1.008
ORLY,^SP500-2550,0.9333333333333333,ORLY will underperform ^SP500-2550,0.924
OXY,^GSPE,0.8666666666666667,OXY will underperform ^GSPE,1.598
PANW,^SP500-45,0.8333333333333334,PANW will outperform ^SP500-45,1.127
PEP,^SP500-3010,0.7666666666666667,PEP will underperform ^SP500-3010,0.539
PFE,^SP500-35,0.8333333333333334,PFE will underperform ^SP500-35,0.617
PG,^SP500-3010,0.8333333333333334,PG will outperform ^SP500-3010,0.407
PM,^SP500-3010,0.9,PM will underperform ^SP500-3010,0.576
PNC,^SP500-40,0.8333333333333334,PNC will outperform ^SP500-40,1.127
PYPL,^SP500-40,0.9411764705882353,PYPL will outperform ^SP500-40,1.441
QCOM,^SP500-45,0.9,QCOM will underperform ^SP500-45,1.282
REGN,^SP500-35,0.9333333333333333,REGN will outperform ^SP500-35,0.115
RTX,^SP500-20,0.9,RTX will underperform ^SP500-20,0.543
SBUX,^SP500-2550,0.8666666666666667,SBUX will outperform ^SP500-2550,0.961
SCHW,^SP500-40,0.9,SCHW will outperform ^SP500-40,0.963
SHW,^SP500-15,0.9,SHW will outperform ^SP500-15,1.169
SLB,^GSPE,0.8333333333333334,SLB will underperform ^GSPE,1.525
STZ,^SP500-3010,0.9666666666666667,STZ will outperform ^SP500-3010,0.876
T,^SP500-50,0.8,T will underperform ^SP500-50,0.737
TGT,^SP500-3010,0.8666666666666667,TGT will outperform ^SP500-3010,1.238
TJX,^SP500-2550,0.9333333333333333,TJX will underperform ^SP500-2550,0.888
TMO,^SP500-35,0.8666666666666667,TMO will outperform ^SP500-35,0.777
TMUS,^SP500-50,0.9666666666666667,TMUS will outperform ^SP500-50,0.508
TSLA,^SP500-2550,0.9655172413793104,TSLA will underperform ^SP500-2550,2.297
TXN,^SP500-45,0.8666666666666667,TXN will underperform ^SP500-45,0.973
UAL,^SP500-20,0.8666666666666667,UAL will underperform ^SP500-20,1.448
ULTA,^SP500-2550,0.9333333333333333,ULTA will outperform ^SP500-2550,1.316
UNH,^SP500-35,0.9666666666666667,UNH will outperform ^SP500-35,0.593
UNP,^SP500-20,0.9333333333333333,UNP will outperform ^SP500-20,1.05
UPS,^SP500-20,0.9666666666666667,UPS will underperform ^SP500-20,0.979
USB,^SP500-40,0.9333333333333333,USB will underperform ^SP500-40,1.051
V,^SP500-40,0.8333333333333334,V will outperform ^SP500-40,0.961
VLO,^GSPE,0.8666666666666667,VLO will outperform ^GSPE,1.376
VRTX,^SP500-35,0.9333333333333333,VRTX will outperform ^SP500-35,0.402
VZ,^SP500-50,0.9666666666666667,VZ will outperform ^SP500-50,0.411
WBA,^SP500-3010,0.8666666666666667,WBA will underperform ^SP500-3010,0.681
WDC,^SP500-45,0.9333333333333333,WDC will underperform ^SP500-45,1.381
WFC,^SP500-40,0.9333333333333333,WFC will underperform ^SP500-40,1.159
WMT,^SP500-3010,1.0,WMT will outperform ^SP500-3010,0.516
WYNN,^SP500-2550,0.9666666666666667,WYNN will outperform ^SP500-2550,1.811
XOM,^GSPE,0.8333333333333334,XOM will underperform ^GSPE,0.877
ADSK,^SP500-45,0.9,ADSK will underperform ^SP500-45,1.478
BLK,^SP500-40,0.9,BLK will underperform ^SP500-40,1.318
MPC,^GSPE,0.8461538461538461,MPC will outperform ^GSPE,1.358
CI,^SP500-35,0.9333333333333333,CI will outperform ^SP500-35,0.506
BSX,^SP500-35,0.9666666666666667,BSX will outperform ^SP500-35,0.797
NOW,^SP500-45,0.875,NOW will outperform ^SP500-45,0.988
INTU,^SP500-45,0.8333333333333334,INTU will underperform ^SP500-45,1.241
LIN,^SP500-15,0.9333333333333333,LIN will outperform ^SP500-15,0.944
ALGN,^SP500-35,0.9333333333333333,ALGN will underperform ^SP500-35,1.645
EL,^SP500-3010,1.0,EL will outperform ^SP500-3010,1.002
LULU,^SP500-2550,1.0,LULU will underperform ^SP500-2550,1.254
LRCX,^SP500-45,1.0,LRCX will underperform ^SP500-45,1.481
FIS,^SP500-40,0.9,FIS will underperform ^SP500-40,1.086
CCL,^SP500-2550,0.9333333333333333,CCL will underperform ^SP500-2550,2.697
FI,^SP500-40,1.0,FI will underperform ^SP500-40,0.933
PARA,^SP500-50,0.9666666666666667,PARA will outperform ^SP500-50,1.771
SPGI,^SP500-40,0.9,SPGI will outperform ^SP500-40,1.176
MRNA,^SP500-35,1.0,MRNA will underperform ^SP500-35,1.661
UBER,^SP500-20,1.0,UBER will outperform ^SP500-20,1.331
RCL,^SP500-2550,0.8666666666666667,RCL will underperform ^SP500-2550,2.622
CRWD,^SP500-45,1.0,CRWD will outperform ^SP500-45,1.098
NEM,^SP500-15,0.8666666666666667,NEM will underperform ^SP500-15,0.513
